,0
NOSTRIN,0.39600813
UCP2,0.34932032
C9orf152,0.32930455
HOXB5,0.27656323
ADAM7,0.2566265
NDRG2,0.23859484
SERPINB3,0.23803213
ALCAM,0.23329093
CALB2,0.2325413
MUC16,0.23176436
CHI3L2,0.2308414
SCNN1A,0.21565652
PLA2G4E,0.20269464
SNCAIP,0.18142502
MUC6,0.16336739
CBS,0.15914719
clin_age,0.11857482
clin_tumor_size,0.106971994
clin_grade,0.089203075
clin_stage,0.07785567
clin_tmb,0.073166505
clin_cellularity,0.07249643
clin_node_status,0.046722025
CXCL10,0.045105822
GBP5,0.03383978
LIN7A,0.029711323
BATF,0.027345838
CCL8,0.025097838
clin_menopausal,0.020385865
ADAMDEC1,0.019327207
COL5A1,0.01925009
CALD1,0.015995495
TGFBI,0.01504331
RTP4,0.012947522
TARP,0.012345672
SIDT1,0.011734312
IFI44L,0.011652755
RARRES1,0.011629389
TMEM98,0.0108203245
EXTL1,0.010152771
IDO1,0.010104686
COL9A3,0.010098344
TMEM62,0.008933185
MME,0.008739506
RNASE1,0.008231229
H19,0.007960028
SCUBE3,0.007937918
TAP1,0.0077973166
CA12,0.007559303
ZNF521,0.007482187
TMEM45A,0.0073232264
FN1,0.007272455
ACTG2,0.0072116577
clin_hist_ductal,0.0071234396
SLC26A3,0.0070332126
COL2A1,0.00677944
TRIM2,0.006723968
APOBEC3B,0.006716665
FZD4,0.006610601
PLA2G4F,0.0064327945
HERC5,0.0064175734
KRT6B,0.0063627167
BMP4,0.0062568886
GJB2,0.0055714864
SERHL,0.0054835943
GZMK,0.005374879
PEG10,0.0051299008
KRT6A,0.0050724554
GAMT,0.005060928
SMO,0.004827369
IGF1R,0.004715461
CD163,0.0046444596
TAGLN,0.0045091244
HORMAD1,0.0044953357
RASD2,0.0043500867
EGFL6,0.0043144105
KHDRBS3,0.004272397
STX19,0.0041304193
SCGN,0.0037781787
DLGAP1,0.0036954621
CSPG4,0.0036385048
F13A1,0.0036291843
TPSAB1,0.0035791602
IFIH1,0.0034972255
MAOA,0.0034247178
DEFB1,0.003388646
EN1,0.0032588136
ARRDC5,0.0031847602
CADM1,0.0030926792
DRAIC,0.0029676422
CYP4X1,0.0029365781
TP53TG1,0.0028456673
VIPR1,0.002822652
CHRM3,0.0027671494
FZD7,0.002760044
KMO,0.0027299582
GFRA3,0.0027013456
CRYAB,0.0026729105
CDH19,0.0026474232
IL1RN,0.0026332743
SYT17,0.0026282794
VANGL2,0.002602084
GNMT,0.0025021557
ZNF296,0.00236754
TFAP2B,0.002348322
CRAT,0.002207776
KRT14,0.0021681304
CROT,0.0021242278
OSR1,0.0020740598
UGT1A6,0.0020166654
TMPRSS3,0.001997752
APOD,0.0018958063
SCUBE2,0.0018475091
CITED4,0.0017860875
GGTLC2,0.0017644538
MFGE8,0.0016336396
EDDM3B,0.0015184958
SCGB3A1,0.0014153296
MLPH,0.0013675103
GPX2,0.0013393015
KRT17,0.0012722273
DNASE2B,0.0012501207
SLC40A1,0.0011922038
NXPH1,0.0011895116
MARCO,0.0011453816
FIBCD1,0.0010634211
PXDN,0.0010369298
LRRC31,0.0008120873
FOXA1,0.0
ART3,0.0
SPDEF,0.0
CASP14,0.0
GPR160,0.0
ARL9,0.0
EPHB3,0.0
FASN,0.0
TMEM158,0.0
FBN3,0.0
NR2F1,0.0
ACPP,0.0
TFCP2L1,0.0
ZP1,0.0
IQGAP2,0.0
GJB1,0.0
GSTA3,0.0
PIP,0.0
LMO3,0.0
FXYD6,0.0
UBD,0.0
ZP2,0.0
KIAA1324,0.0
CELSR2,0.0
MYH14,0.0
SYCP1,0.0
TRIL,0.0
KYNU,0.0
HMGCS2,0.0
DYNLRB2,0.0
UGT8,0.0
clin_hist_lobular,0.0
clin_hist_metaplastic,0.0
clin_hist_medullary,0.0
clin_hist_other,0.0
